                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4968,                   0.55,                      1,                 1.4129,             0.00023593,             0.00023593,             0.00023593
                      2,                 1.0325,                0.69783,                      1,                 1.2652,             0.00045047,             0.00045047,             0.00045047
                      3,                0.84706,                0.73913,                      1,                 1.2022,             0.00064145,             0.00064145,             0.00064145
                      4,                0.79787,                0.73913,                      1,                 1.2042,             0.00060797,             0.00060797,             0.00060797
                      5,                0.70308,                   0.75,                      1,                 1.1951,             0.00060797,             0.00060797,             0.00060797
                      6,                0.64972,                0.75652,                      1,                 1.1821,             0.00057263,             0.00057263,             0.00057263
                      7,                0.62642,                0.76522,                      1,                 1.1767,             0.00053728,             0.00053728,             0.00053728
                      8,                0.61958,                0.76304,                      1,                 1.1653,             0.00050194,             0.00050194,             0.00050194
                      9,                 0.5541,                0.72609,                      1,                 1.1738,              0.0004666,              0.0004666,              0.0004666
                     10,                0.57823,                0.76522,                      1,                 1.1698,             0.00043126,             0.00043126,             0.00043126
                     11,                0.55098,                0.77174,                      1,                 1.1546,             0.00039591,             0.00039591,             0.00039591
                     12,                0.51673,                0.78043,                      1,                  1.165,             0.00036057,             0.00036057,             0.00036057
                     13,                0.50742,                0.75652,                      1,                 1.1643,             0.00032523,             0.00032523,             0.00032523
                     14,                0.47248,                0.77826,                      1,                 1.1489,             0.00028988,             0.00028988,             0.00028988
                     15,                0.48282,                0.77174,                      1,                 1.1558,             0.00025454,             0.00025454,             0.00025454
                     16,                 0.4728,                0.76739,                      1,                 1.1554,              0.0002192,              0.0002192,              0.0002192
                     17,                0.43091,                0.76739,                      1,                 1.1585,             0.00018385,             0.00018385,             0.00018385
                     18,                0.45292,                0.78043,                      1,                 1.1433,             0.00014851,             0.00014851,             0.00014851
                     19,                0.42189,                0.77609,                      1,                 1.1506,             0.00011317,             0.00011317,             0.00011317
                     20,                 0.4204,                0.77174,                      1,                 1.1553,             7.7826e-05,             7.7826e-05,             7.7826e-05
